,KepID,Exoplanet Archive Disposition,Disposition Score,Orbital Period [days],Transit Epoch [BKJD],Impact Parameter,Transit Duration [hrs],Transit Depth [ppm],Planetary Radius [Earth radii],Equilibrium Temperature [K],Insolation Flux [Earth flux],Transit Signal-to-Noise,Stellar Effective Temperature [K],Stellar Surface Gravity [log10(cm/s**2)],Stellar Radius [Solar radii],Dec [decimal degrees],Kepler-band [mag]
228,7663691,CONFIRMED,1.0,10.00653012,176.96898,0.862,5.344,936.1,3.52,876.0,139.21,71.9,6063.0,4.47,1.001,43.379398,15.063
229,5812701,CONFIRMED,0.635,17.855221681,146.596466,0.075,7.41287,9065.2,13.16,911.0,163.04,915.7,6823.0,4.308,1.367,41.01099,11.353
232,8039892,CONFIRMED,1.0,5.007316661,173.433997,0.344,4.2362,6932.3,6.96,998.0,234.28,431.4,5865.0,4.563,0.827,43.884449,15.813
233,8150320,CONFIRMED,1.0,2.211116989,170.150139,0.69,1.6485,724.2,1.85,931.0,177.19,42.6,4500.0,4.656,0.646,44.026459,15.791
234,8150320,CONFIRMED,0.997,27.9541337,178.73791,0.063,3.95,942.5,1.9,400.0,6.04,25.4,4500.0,4.656,0.646,44.026459,15.791
235,11086270,CONFIRMED,0.415,12.69104387,137.12594,0.008,3.7727,252.1,2.57,1008.0,244.3,60.2,5869.0,4.024,1.626,48.60281,12.935
236,7767559,FALSE POSITIVE,0.228,4.409409243,171.89433,0.028,3.8636,12861.0,10.95,1101.0,347.06,85.8,5600.0,4.368,0.975,43.455391,15.403
237,7825899,CONFIRMED,1.0,16.23947096,175.569907,0.043,4.0374,2590.7,4.14,598.0,30.14,123.8,5191.0,4.564,0.837,43.58136,15.258
238,7825899,CONFIRMED,1.0,6.308201629,174.047661,0.03,2.9785,1328.5,2.96,819.0,106.44,86.2,5191.0,4.564,0.837,43.58136,15.258
239,7849854,CONFIRMED,1.0,2.052349884,169.890622,0.437,2.0778,14281.0,13.12,1497.0,1183.18,1072.1,5855.0,4.393,1.08,43.503559,15.257
240,7870390,CONFIRMED,1.0,9.7704486,175.71372,0.09,2.4517,1897.8,2.23,460.0,10.59,58.0,3906.0,4.73,0.509,43.66563,15.777
241,7870390,CONFIRMED,1.0,5.169804269,172.63153,0.351,2.153,1037.4,1.66,569.0,24.75,41.4,3906.0,4.73,0.509,43.66563,15.777
242,5094751,CONFIRMED,1.0,21.22261195,137.57403,0.02,6.5093,366.0,2.48,771.0,83.56,114.9,5945.0,4.213,1.302,40.28487,12.365
243,7870390,CONFIRMED,1.0,20.09017037,147.97788,0.886,4.154,1432.1,2.25,362.0,4.05,36.9,3906.0,4.73,0.509,43.66563,15.777
244,7907423,CONFIRMED,0.999,7.11373257,174.32351,0.334,2.1764,807.6,1.16,429.0,8.01,44.4,3561.0,4.855,0.411,43.65852,15.234
245,7907423,CONFIRMED,0.999,3.306551643,134.37211,0.001,1.8177,509.2,0.91,554.0,22.19,37.8,3561.0,4.855,0.411,43.65852,15.234
246,7907423,CONFIRMED,0.998,15.36845737,147.38965,0.115,2.4714,756.1,1.11,332.0,2.86,30.9,3561.0,4.855,0.411,43.65852,15.234
247,7938496,CONFIRMED,1.0,13.81020318,172.33533,0.791,3.048,1309.7,4.56,833.0,113.75,46.2,5942.0,4.327,1.142,43.70311,15.425
248,8490993,CONFIRMED,1.0,4.093578461,171.00954,0.93,2.5833,538.6,2.85,1182.0,461.07,36.4,6077.0,4.471,0.999,44.55645,15.399
249,8490993,CONFIRMED,0.999,105.145959,178.367,0.964,8.593,685.4,3.43,401.0,6.09,15.4,6077.0,4.471,0.999,44.55645,15.399
250,8505670,CONFIRMED,1.0,10.8484518,171.80584,0.21,2.9993,1675.6,2.34,499.0,14.66,64.5,4201.0,4.682,0.591,44.545959,15.058
251,8505670,CONFIRMED,1.0,6.66833241,137.43988,0.644,1.915,362.3,1.18,587.0,28.06,14.2,4201.0,4.682,0.591,44.545959,15.058
252,8544996,CONFIRMED,0.997,4.082274889,169.6375652,0.093,3.23015,17859.0,10.55,1016.0,251.48,1669.1,5655.0,4.581,0.794,44.658138,15.198
254,8150320,CONFIRMED,1.0,42.1406089,139.0604,0.045,5.083,895.5,1.85,349.0,3.49,21.6,4500.0,4.656,0.646,44.026459,15.791
255,8150320,CONFIRMED,1.0,4.617490562,135.04909,0.649,2.2618,575.8,1.62,728.0,66.47,28.1,4500.0,4.656,0.646,44.026459,15.791
256,8150320,CONFIRMED,0.996,10.19849255,137.92067,0.714,2.4283,634.1,1.75,559.0,23.11,21.4,4500.0,4.656,0.646,44.026459,15.791
257,8180063,FALSE POSITIVE,0.0,5.795063956,172.697467,0.949,3.2496,1692.9,4.33,950.0,192.74,119.4,5865.0,4.563,0.827,44.036072,15.289
258,8226994,CONFIRMED,1.0,7.15681552,174.13511,0.45,2.5882,867.0,2.47,782.0,88.23,47.7,5029.0,4.494,0.838,44.141949,15.46
259,8226994,CONFIRMED,1.0,17.64830851,133.54533,0.653,2.0873,763.3,2.43,579.0,26.49,23.8,5029.0,4.494,0.838,44.141949,15.46
260,8226994,CONFIRMED,0.957,4.14810719,133.3881,0.093,2.535,175.2,1.08,938.0,182.76,12.9,5029.0,4.494,0.838,44.141949,15.46
261,8247638,CONFIRMED,1.0,16.51410989,176.11686,0.395,4.1575,973.5,2.72,655.0,43.57,55.9,5527.0,4.488,0.866,44.105862,15.223
262,8247638,CONFIRMED,1.0,30.1329298,190.38336,0.839,5.172,1015.8,3.14,536.0,19.55,44.8,5527.0,4.488,0.866,44.105862,15.223
263,8247638,CONFIRMED,1.0,4.79090809,136.31106,0.11,2.603,251.3,1.36,990.0,227.24,21.2,5527.0,4.488,0.866,44.105862,15.223
264,11086270,CONFIRMED,1.0,31.71981013,142.82083,0.125,4.819,363.4,3.09,743.0,71.97,63.1,5869.0,4.024,1.626,48.60281,12.935
265,8247638,CONFIRMED,1.0,99.6415962,198.68664,0.028,4.448,952.5,2.64,360.0,3.97,22.7,5527.0,4.488,0.866,44.105862,15.223
266,8255887,CONFIRMED,1.0,4.708326451,171.446507,0.061,3.16114,7912.7,10.6,1162.0,431.02,633.4,5560.0,4.246,1.21,44.17094,15.113
267,8256049,FALSE POSITIVE,0.0,16.37198661,172.75926,9.303,3.8449,4147.6,540.37,438.0,8.71,54.5,4187.0,4.656,0.592,44.175499,15.654
268,8414716,CONFIRMED,1.0,5.392026903,171.72707,0.314,2.9804,1151.4,2.68,850.0,123.33,77.4,5198.0,4.589,0.801,44.48053,15.651
270,9141746,CONFIRMED,1.0,6.491682808,174.633553,0.535,4.301,7163.3,9.66,1062.0,301.54,502.3,6123.0,4.413,1.107,45.578861,15.649
271,9159275,FALSE POSITIVE,0.0,3.044770796,172.01916,1.252,10.0134,1695.0,24.54,1076.0,317.36,203.5,5525.0,4.603,0.753,45.51683,15.621
272,9166862,CONFIRMED,0.999,3.855603916,170.6787843,0.348,3.2179,16653.0,13.61,1212.0,508.65,1173.9,6033.0,4.46,1.046,45.568562,15.272
273,9166870,FALSE POSITIVE,0.0,3.855599139,170.67957,0.864,3.183,1030.9,3.57,1158.0,425.74,90.1,5936.0,4.501,0.965,45.56992,15.054
274,11449844,CONFIRMED,0.92,38.47876629,151.852812,0.003,5.04169,23530.0,13.26,484.0,13.01,1077.8,5510.0,4.539,0.879,49.370491,13.779
275,8605074,FALSE POSITIVE,0.0,37.601661282,194.713383,0.408,8.30604,59130.0,27.22,606.0,31.86,1667.3,6140.0,4.354,1.096,44.714661,15.505
276,8628973,CONFIRMED,1.0,3.314947362,171.313058,0.799,1.8007,1398.2,3.94,1155.0,421.03,123.5,5609.0,4.481,0.944,44.792789,15.142
277,8655354,FALSE POSITIVE,0.0,6.71969089,173.35776,0.985,3.0231,969.7,4.37,952.0,194.18,45.4,5931.0,4.479,0.866,44.706299,15.172
278,8672910,CONFIRMED,0.996,39.6431552,206.596798,0.062,6.5292,15664.0,10.98,472.0,11.74,690.3,5231.0,4.455,0.9,44.811562,15.011
279,8686150,FALSE POSITIVE,0.0,51.42598578,173.535933,0.203,16.9422,66068.0,29.66,549.0,21.4,1843.8,6257.0,4.41,1.147,44.806789,15.631
